@relation music_classification

@attribute 'acousticness' numeric
@attribute 'danceability' numeric
@attribute 'duration_ms' numeric
@attribute 'energy' numeric
@attribute 'instrumentalness' numeric
@attribute 'key' numeric
@attribute 'liveness' numeric
@attribute 'loudness' numeric
@attribute 'mode' numeric
@attribute 'speechiness' numeric
@attribute 'tempo' numeric
@attribute 'time_signature' numeric
@attribute 'valence' numeric
@attribute 'class' {hip-hop/rap, pop, dance}

@data
0.0833,0.736,218312,0.882,0.000349,11,0.354,-4.285,0,0.0398,126.012,4.0,0.512,hip-hop/rap
0.445,0.915,183159,0.54,3.63e-05,7,0.11,-6.578,1,0.0661,100.039,4.0,0.113,hip-hop/rap
0.109,0.632,197963,0.519,0.0,1,0.122,-7.207,1,0.0265,99.999,4.0,0.602,dance
0.0146,0.823,274320,0.768,1.03e-06,11,0.127,-6.21,1,0.0819,115.021,4.0,0.207,pop
0.726,0.49,289307,0.376,2.54e-05,11,0.0849,-13.463,0,0.0433,182.969,4.0,0.107,pop
0.0487,0.289,273000,0.523,0.000293,6,0.0561,-9.531,1,0.0488,145.556,4.0,0.366,pop
0.0207,0.808,292373,0.41,0.364,9,0.0769,-12.428,1,0.0658,122.663,4.0,0.752,pop
0.775,0.758,216234,0.343,0.0,1,0.11,-9.044,0,0.0402,99.995,4.0,0.218,hip-hop/rap
0.0301,0.226,247027,0.261,0.0677,2,0.0628,-11.276,1,0.0339,108.915,4.0,0.0795,pop
0.0626,0.858,254920,0.717,0.243,0,0.216,-8.734,1,0.0995,120.004,4.0,0.593,dance
0.317,0.727,197133,0.599,0.0,1,0.219,-6.941,1,0.327,167.909,3.0,0.381,hip-hop/rap
0.016,0.79,233813,0.616,0.13,0,0.136,-7.081,1,0.0388,111.038,4.0,0.373,pop
0.304,0.785,373243,0.573,0.403,5,0.0824,-9.082,0,0.0416,126.465,4.0,0.626,pop
0.113,0.715,329169,0.64,0.0418,2,0.0848,-7.168,1,0.0317,113.507,4.0,0.398,dance
0.0414,0.811,312360,0.635,0.142,7,0.204,-8.394,1,0.0971,137.595,4.0,0.752,dance
0.0194,0.896,474040,0.482,0.033,0,0.0273,-8.35,1,0.127,112.0,4.0,0.847,pop
0.0129,0.401,592920,0.661,7.72e-05,5,0.791,-6.111,0,0.0462,107.998,4.0,0.173,hip-hop/rap
0.0106,0.346,301867,0.808,0.685,11,0.247,-5.791,0,0.0302,219.331,4.0,0.711,pop
0.115,0.697,251267,0.529,0.901,2,0.0895,-8.838,1,0.0338,155.974,4.0,0.483,dance
0.195,0.605,209573,0.732,0.0135,6,0.246,-5.643,0,0.15,195.978,4.0,0.136,pop
0.034,0.691,425320,0.71,0.00225,10,0.0903,-6.351,0,0.0322,118.006,4.0,0.334,dance
0.00525,0.555,263213,0.612,0.0,4,0.346,-7.841,0,0.0353,100.036,4.0,0.319,dance
0.119,0.68,313787,0.489,2.86e-05,11,0.606,-7.837,0,0.432,74.04,4.0,0.261,hip-hop/rap
0.0463,0.578,208139,0.825,0.0201,5,0.162,-4.659,0,0.0284,113.907,4.0,0.959,pop
0.0602,0.658,156707,0.835,0.00781,4,0.14,-7.165,0,0.0501,124.654,4.0,0.568,dance
0.00914,0.385,180493,0.902,0.522,7,0.317,-5.464,1,0.098,159.939,4.0,0.52,dance
0.0555,0.735,260400,0.798,0.0627,0,0.161,-6.175,1,0.127,113.997,4.0,0.469,pop
0.132,0.635,139931,0.766,0.0,11,0.122,-6.449,1,0.26,93.603,4.0,0.675,hip-hop/rap
0.000613,0.469,387640,0.823,0.000829,9,0.185,-3.948,0,0.0583,122.316,4.0,0.138,dance
0.0212,0.597,260467,0.798,0.473,5,0.143,-5.307,1,0.0367,99.999,4.0,0.383,dance
0.198,0.507,286413,0.739,0.865,2,0.185,-9.728,1,0.04,87.569,4.0,0.17,dance
0.0198,0.517,245013,0.491,1.31e-06,11,0.0786,-13.742,0,0.0341,104.996,4.0,0.331,pop
0.00529,0.563,200600,0.924,0.883,10,0.145,-3.909,0,0.0511,94.057,4.0,0.6,dance
0.00501,0.633,264000,0.884,1.93e-05,9,0.134,-4.158,0,0.0369,111.98,4.0,0.455,dance
0.929,0.445,250200,0.461,0.167,11,0.623,-11.488,1,0.0379,119.951,4.0,0.091,pop
0.00145,0.575,250826,0.625,0.0,9,0.0817,-5.296,0,0.0345,111.984,4.0,0.295,dance
0.369,0.662,236733,0.571,0.000197,6,0.0908,-7.382,0,0.106,152.009,4.0,0.442,hip-hop/rap
0.0244,0.605,369387,0.755,0.586,1,0.0937,-5.169,1,0.0358,122.3,4.0,0.367,dance
0.00632,0.374,172960,0.937,0.0207,9,0.186,-3.882,1,0.082,149.812,4.0,0.337,dance
0.00441,0.207,287667,0.878,0.421,4,0.341,-7.212,1,0.0449,89.969,4.0,0.135,dance
0.0729,0.589,248200,0.938,0.942,2,0.166,-10.475,0,0.0567,120.007,4.0,0.556,dance
0.00091,0.516,251011,0.66,0.0,9,0.0663,-5.002,0,0.0489,112.065,4.0,0.238,dance
0.00176,0.819,231747,0.777,0.0931,8,0.0627,-7.734,0,0.0614,104.651,4.0,0.769,dance
0.196,0.76,263733,0.76,0.00185,10,0.113,-5.964,0,0.0509,111.01,4.0,0.616,pop
0.233,0.328,225627,0.827,0.00517,6,0.632,-2.545,0,0.252,103.127,4.0,0.709,dance
0.0369,0.448,258653,0.733,0.0425,3,0.169,-6.238,1,0.0292,142.008,4.0,0.404,pop
0.429,0.857,287200,0.889,5.21e-06,6,0.143,-4.382,1,0.0795,103.072,4.0,0.82,hip-hop/rap
0.000299,0.697,238206,0.68,0.00674,2,0.125,-6.847,1,0.0318,98.002,4.0,0.288,dance
0.0193,0.352,248133,0.807,6.04e-06,0,0.0963,-7.781,1,0.173,90.772,4.0,0.0459,hip-hop/rap
0.0998,0.666,285320,0.811,0.0614,11,0.0588,-5.079,0,0.0357,124.954,4.0,0.955,dance
0.0285,0.764,270680,0.768,0.0235,5,0.122,-5.614,1,0.0382,125.988,4.0,0.627,dance
0.0132,0.677,271480,0.86,0.0119,1,0.0487,-5.074,1,0.0348,121.989,4.0,0.793,dance
0.000248,0.515,172520,0.876,0.156,5,0.0606,-5.448,1,0.0375,105.128,4.0,0.707,dance
0.00569,0.715,346773,0.518,0.772,5,0.0983,-11.0,0,0.0699,129.87,4.0,0.923,dance
0.289,0.444,346360,0.978,0.778,6,0.171,-6.238,1,0.0998,125.371,4.0,0.463,hip-hop/rap
0.232,0.612,212944,0.725,0.011,6,0.395,-5.775,0,0.0966,195.972,4.0,0.153,pop
0.0989,0.7,285211,0.718,0.0609,2,0.218,-5.882,1,0.0535,81.997,4.0,0.343,dance
0.148,0.327,275286,0.654,0.00442,6,0.0939,-6.258,0,0.0364,102.532,3.0,0.262,dance
0.473,0.551,283373,0.504,0.664,7,0.0818,-11.166,1,0.0309,115.998,4.0,0.137,pop
0.122,0.817,220987,0.528,0.0,1,0.284,-6.551,1,0.0656,100.997,4.0,0.161,dance
0.0764,0.611,255320,0.677,0.0698,10,0.241,-6.745,0,0.034,166.04,4.0,0.233,dance
0.419,0.727,239360,0.657,0.0,0,0.0624,-5.307,1,0.188,82.553,4.0,0.794,pop
